gap_class,n_samples,mae_lpm,rmse_lpm,household,scenario
huge,1800,0.3760366849280465,0.7686600390956009,hh-01,Single linear imputation
large,720,0.24242176352710226,0.7355147863018072,hh-01,Single linear imputation
medium,120,0.7553218132146113,1.6171638387878706,hh-01,Single linear imputation
micro,3,0.06696794224027847,0.07503043064200401,hh-01,Single linear imputation
small,15,0.7192148487639031,1.5469084640595605,hh-01,Single linear imputation
huge,1800,0.5244603190135801,0.907866465714317,hh-01,Single forward-fill imputation
large,720,0.25684667000619044,0.7295593759206134,hh-01,Single forward-fill imputation
medium,120,0.6834210477962076,1.7277678939331769,hh-01,Single forward-fill imputation
micro,3,0.1466350497997665,0.17756332635617741,hh-01,Single forward-fill imputation
small,15,0.7088238767022977,1.5720203287307895,hh-01,Single forward-fill imputation
huge,1800,0.7079432883537687,1.0817846061978384,hh-01,Single seasonal-profile imputation
large,720,0.21472272525973687,0.756832963492195,hh-01,Single seasonal-profile imputation
medium,120,0.679782501598207,1.7208335382422588,hh-01,Single seasonal-profile imputation
micro,3,0.08068205582065287,0.12789910143459618,hh-01,Single seasonal-profile imputation
small,15,0.7130145017643377,1.6516100564758969,hh-01,Single seasonal-profile imputation
huge,1800,0.6110795377912442,0.9806654792151873,hh-01,Gap-adaptive imputation
large,720,0.2648763206641508,0.7446739787208161,hh-01,Gap-adaptive imputation
medium,120,0.679782501598207,1.7208335382422588,hh-01,Gap-adaptive imputation
micro,3,0.06696794224027847,0.07503043064200401,hh-01,Gap-adaptive imputation
small,15,0.7192148487639031,1.5469084640595605,hh-01,Gap-adaptive imputation
huge,1800,0.19667120519541073,0.22939822274397745,hh-02,Single linear imputation
large,720,1.0382844836672642,1.2395345463843428,hh-02,Single linear imputation
medium,120,0.07698419024327757,0.2104581585521866,hh-02,Single linear imputation
micro,3,0.08523981806603398,0.09023023312873846,hh-02,Single linear imputation
small,15,0.3710982313536858,0.4232612166607692,hh-02,Single linear imputation
huge,1800,0.13364406487214658,0.16411905307091995,hh-02,Single forward-fill imputation
large,720,1.844933461699348,1.8801148428651848,hh-02,Single forward-fill imputation
medium,120,0.07783904571810486,0.21451049012350976,hh-02,Single forward-fill imputation
micro,3,0.006869200784990731,0.011897804766995961,hh-02,Single forward-fill imputation
small,15,0.034997832698369584,0.04015562441769586,hh-02,Single forward-fill imputation
huge,1800,2.131742979434351,2.1353613081479375,hh-02,Single seasonal-profile imputation
large,720,0.2951221748766638,0.8841609965749646,hh-02,Single seasonal-profile imputation
medium,120,0.07728974517765906,0.2078820474918491,hh-02,Single seasonal-profile imputation
micro,3,0.014993432243237325,0.01786546526910461,hh-02,Single seasonal-profile imputation
small,15,0.034016337207031073,0.03968294964655814,hh-02,Single seasonal-profile imputation
huge,1800,1.9448075307781492,1.9514916836549447,hh-02,Gap-adaptive imputation
large,720,0.40486791233211117,0.8435133871814111,hh-02,Gap-adaptive imputation
