scenario,gap_class,mae_lpm,mae_lpm,rmse_lpm,rmse_lpm
,,mean,std,mean,std
Gap-adaptive imputation,huge,0.38220245313594975,0.4571327815830289,0.63889673460721,0.5875671801850415
Gap-adaptive imputation,large,0.29205386206537853,0.17991716140733247,0.6318232336054636,0.45094897690644425
Gap-adaptive imputation,medium,0.21921297216396396,0.2253355557769164,0.48102939178024684,0.5298554219391994
Gap-adaptive imputation,micro,0.26156656221328367,0.7622646743911388,0.2718856603671366,0.7623533168135305
Gap-adaptive imputation,small,0.3578591385749371,0.688661886106704,0.5119854575525385,0.8715091784554103
Single forward-fill imputation,huge,0.3674770581075478,0.6357447896319306,0.6260782014636829,0.7329975338899369
Single forward-fill imputation,large,0.31599380261766735,0.42099066734251606,0.7104564816528728,0.5689910199678069
Single forward-fill imputation,medium,0.2096948673986789,0.2409292569038804,0.4737919318771513,0.5441766049545179
Single forward-fill imputation,micro,0.19592590455506392,0.4489356680286336,0.21383464813842848,0.4626213152057392
Single forward-fill imputation,small,0.6524019906710161,1.6913395290316686,0.7930931045780136,1.7588555276331368
Single linear imputation,huge,0.2729238330393961,0.35069398474011393,0.5618192684156902,0.5908195982417548
Single linear imputation,large,0.26527914851073375,0.25067978875452884,0.6664583751179264,0.5048810734794114
Single linear imputation,medium,0.2401262426340083,0.2899048048976092,0.4773889677411206,0.5470151729690255
Single linear imputation,micro,0.26156656221328367,0.7622646743911388,0.2718856603671366,0.7623533168135305
Single linear imputation,small,0.3578591385749371,0.688661886106704,0.5119854575525385,0.8715091784554103
Single seasonal-profile imputation,huge,0.3832746885451941,0.4927829949941496,0.6972918303707807,0.6255699685608075
Single seasonal-profile imputation,large,0.22488426445946394,0.1487063604544955,0.6477743001477666,0.48416654357421524
Single seasonal-profile imputation,medium,0.21921297216396396,0.2253355557769164,0.48102939178024684,0.5298554219391994
Single seasonal-profile imputation,micro,0.3598174927411943,1.0640582264608272,0.37522386831249244,1.0675331668064636
Single seasonal-profile imputation,small,0.25114845498519406,0.3477996633901426,0.4469496924216786,0.6536027248381638
