accuracy,precision,recall,f1,pr_auc,model,household,scenario,split_type,leak_start,leak_end
0.9895377983362194,0.0,0.0,0.0,,Majority baseline,hh-01,No missingness/original,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.961238995919257,0.052470317885867486,0.15856481481481483,0.07884892086330936,0.13764165838471856,Night threshold,hh-01,No missingness/original,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9999636729108896,1.0,0.9965277777777778,0.9982608695652174,1.0,Random Forest,hh-01,No missingness/original,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9999394548514827,1.0,0.9942129629629629,0.9970980847359258,0.999968025220961,Gradient Boosting,hh-01,No missingness/original,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9679231803155613,0.2156737814590634,0.7835648148148148,0.3382463152635523,0.19114993214321513,Isolation Forest best gamma=0.03,hh-01,No missingness/original,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9895377983362194,0.0,0.0,0.0,,Majority baseline,hh-01,Single linear imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9616507029291743,0.059318790662074246,0.17939814814814814,0.08915731952832902,0.13124188360827801,Night threshold,hh-01,Single linear imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-01,Single linear imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9999636729108896,0.9965397923875432,1.0,0.9982668977469671,0.998823955304539,Gradient Boosting,hh-01,Single linear imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9903854304154608,0.5405092592592593,0.5405092592592593,0.5405092592592593,0.6221570858851769,Isolation Forest best gamma=0.005,hh-01,Single linear imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9895377983362194,0.0,0.0,0.0,,Majority baseline,hh-01,Single forward-fill imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9608515069687465,0.03494307027875933,0.10300925925925926,0.05218411023160364,0.09079603554969817,Night threshold,hh-01,Single forward-fill imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9998668006732621,0.9874285714285714,1.0,0.9936745255894192,0.9996019487625823,Random Forest,hh-01,Single forward-fill imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9999152367920758,1.0,0.9918981481481481,0.9959325973271353,0.9998981481481481,Gradient Boosting,hh-01,Single forward-fill imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
0.9793419953259145,0.3235540653813915,0.8935185185185185,0.47507692307692306,0.29489148304834545,Isolation Forest best gamma=0.02,hh-01,Single forward-fill imputation,stratified,2021-04-09 00:36:00+00:00,2021-04-11 00:35:00+00:00
