scenario,split_type,model,accuracy,accuracy,precision,precision,recall,recall,f1,f1,pr_auc,pr_auc
,,,mean,std,mean,std,mean,std,mean,std,mean,std
Gap-adaptive imputation,stratified,Gradient Boosting,0.9998236681774584,0.0005388468519128946,0.9910072445327761,0.02710992156585059,0.965890522875817,0.12312940795846446,0.9750550327957103,0.08903348064559576,0.9631061027409845,0.12949503968146836
Gap-adaptive imputation,stratified,Isolation Forest best gamma=0.005,0.9942059550005309,0.0009069727057478002,0.44530173612871715,0.1368894770668086,0.8233796296296296,0.20388216877191906,0.5750616850982571,0.15670397440199255,0.5689649296301432,0.3171255294629513
Gap-adaptive imputation,stratified,Isolation Forest best gamma=0.01,0.9901960784313726,,0.5255198487712666,,0.9652777777777778,,0.6805385556915544,,0.5509416836035745,
Gap-adaptive imputation,stratified,Isolation Forest best gamma=0.02,0.9794717922456839,0.000709840841150407,0.17841464003701768,0.09240576016963692,0.8370949074074074,0.19556732062424875,0.2897066008626475,0.13480733129894487,0.16397750173842718,0.09814747901846486
Gap-adaptive imputation,stratified,Isolation Forest best gamma=0.03,0.9673540559194992,,0.20045781556572922,,0.7094907407407407,,0.3125956144824069,,0.21366506017566514,
Gap-adaptive imputation,stratified,Isolation Forest best gamma=0.05,0.9467373972340525,0.005728876578368698,0.07204757866275506,0.06320592611686185,0.6124614197530864,0.3380290846233886,0.12352230520036457,0.10302615644479203,0.07452949190330485,0.054999721513608456
Gap-adaptive imputation,stratified,Majority baseline,0.9931693839706026,0.0044505018373857735,0.0,0.0,0.0,0.0,0.0,0.0,,
Gap-adaptive imputation,stratified,Night threshold,0.9651770066115872,0.01222775847376348,0.060276745446391555,0.0910797738865782,0.2716503267973856,0.3920229112118995,0.09787403022269967,0.14720258045393453,0.19201738356337059,0.30813240440582773
Gap-adaptive imputation,stratified,Random Forest,0.999978582173626,3.177940147119096e-05,0.9998638344226578,0.00038438146073790767,0.9974128540305012,0.001984937328038275,0.9986357770007769,0.0009614323139841336,0.999985165957124,5.5352708442288504e-05
No missingness/original,stratified,Gradient Boosting,0.9997126964253022,0.0006448012893192619,0.9688514696147105,0.09566138751893001,0.962826797385621,0.12315100516060308,0.9597370169401861,0.10287385860729976,0.9280297423773142,0.18739083539906867
No missingness/original,stratified,Isolation Forest best gamma=0.005,0.9944197300230145,0.000752856797498239,0.4800694691197879,0.12061411439912935,0.8822337962962963,0.1632077828145083,0.617734760689627,0.1283920800808108,0.6385750203860404,0.31953829993862526
No missingness/original,stratified,Isolation Forest best gamma=0.01,0.9891464368561133,0.001461760367402355,0.3905617195978572,0.13183081068808847,0.8931327160493826,0.11494129769027045,0.5342500458718241,0.13482634030712792,0.39113953742561697,0.11727782573783539
No missingness/original,stratified,Isolation Forest best gamma=0.02,0.9795418938935506,0.0007082613239131463,0.20274403173847863,0.11202052887202657,0.859375,0.13748486583794034,0.3168546308554038,0.14268836585822078,0.16453414331132385,0.07610283938538427
No missingness/original,stratified,Isolation Forest best gamma=0.03,0.9679231803155613,,0.2156737814590634,,0.7835648148148148,,0.3382463152635523,,0.19114993214321513,
No missingness/original,stratified,Isolation Forest best gamma=0.05,0.9466499549763541,0.0035943871247434626,0.06266764617474822,0.040737116531187355,0.5872685185185185,0.2392582559318488,0.10616338249463109,0.05264203391455618,0.060146792073822376,0.04852206479363545
No missingness/original,stratified,Majority baseline,0.9931693839706026,0.0044505018373857735,0.0,0.0,0.0,0.0,0.0,0.0,,
No missingness/original,stratified,Night threshold,0.9648795266505161,0.012654415484426904,0.061044281830888725,0.09074772180047457,0.27403322440087147,0.3906349727404449,0.09903016534770118,0.14663456952416298,0.1958887086134988,0.30686293528282055
No missingness/original,stratified,Random Forest,0.9999780334573575,3.161964293819356e-05,0.9999319172113289,0.0002807125289772319,0.997140522875817,0.0022826779272440492,0.9985329611377969,0.0011263094713396954,0.9999825921524959,5.2985247090369956e-05
Single forward-fill imputation,stratified,Gradient Boosting,0.999802893983401,0.0005399487539310289,0.9918939190777306,0.027252623985848486,0.9607162309368192,0.12361825704745173,0.9727790367454157,0.08909577116010066,0.9604250347330151,0.13010081147911917
Single forward-fill imputation,stratified,Isolation Forest best gamma=0.005,0.9940100255446367,0.0010239558439113423,0.4357541139659872,0.1365246172149954,0.7828703703703704,0.22165575708402227,0.5554214918025533,0.15586605598592945,0.5423925503788035,0.2912508460017241
Single forward-fill imputation,stratified,Isolation Forest best gamma=0.02,0.9795546031104349,0.0014523483795652865,0.25782715267769796,0.11125593243802094,0.8825231481481481,0.09146936382607644,0.38952998056456717,0.14560648754137964,0.22754840649120123,0.11821383700601208
Single forward-fill imputation,stratified,Isolation Forest best gamma=0.03,0.9699845426071773,0.0008636659273327166,0.1503073051805958,0.10140545852887799,0.8431712962962963,0.12112661595640258,0.24717823038659212,0.14575628886359815,0.11133655271030649,0.0618225904477667
Single forward-fill imputation,stratified,Isolation Forest best gamma=0.05,0.9442464956614645,0.007090311121328689,0.032721632234206544,0.017089283319902716,0.37818287037037035,0.27713140943266573,0.059337876697206686,0.03369679255229083,0.05759887007610101,0.03427396962106182
Single forward-fill imputation,stratified,Majority baseline,0.9931693839706026,0.0044505018373857735,0.0,0.0,0.0,0.0,0.0,0.0,,
Single forward-fill imputation,stratified,Night threshold,0.9649012873248184,0.012778817340520894,0.05839038020114929,0.09150331673610393,0.2593273420479303,0.39299275338781153,0.09460065105731774,0.14786143192038403,0.19283705343379837,0.30779996985756164
Single forward-fill imputation,stratified,Random Forest,0.9999728875291121,3.8144726522971835e-05,0.9991924214130097,0.0030443933536958533,0.9973447712418301,0.0021561938483269363,0.9982634136955842,0.0015521760893901422,0.9999734660835907,9.599388645829493e-05
Single linear imputation,stratified,Gradient Boosting,0.9996028155899469,0.0008727764013539281,0.976166908004352,0.06208737881914896,0.9148284313725491,0.22275096347253176,0.9265449429190381,0.18195439960957427,0.895233442597314,0.23891825102201653
